word,definitionUrl,partOfSpeech,cefrLevel,americanPronUrl,britishPronUrl
agency,/definition/english/agency,noun,b2,/media/english/us_pron/a/age/agenc/agency__us_2.mp3,/media/english/uk_pron/a/age/agenc/agency__gb_2.mp3
agenda,/definition/english/agenda,noun,b2,/media/english/us_pron/a/age/agend/agenda__us_2.mp3,/media/english/uk_pron/a/age/agend/agenda__gb_1.mp3
agent,/definition/english/agent,noun,b1,/media/english/us_pron/a/age/agent/agent__us_2.mp3,/media/english/uk_pron/a/age/agent/agent__gb_1.mp3
aggression,/definition/english/aggression,noun,c1,/media/english/us_pron/a/agg/aggre/aggression__us_1.mp3,/media/english/uk_pron/a/agg/aggre/aggression__gb_1.mp3
aggressive,/definition/english/aggressive,adjective,b2,/media/english/us_pron/a/agg/aggre/aggressive__us_1.mp3,/media/english/uk_pron/a/agg/aggre/aggressive__gb_2.mp3
ago,/definition/english/ago,adverb,a1,/media/english/us_pron/a/ago/ago__/ago__us_1.mp3,/media/english/uk_pron/a/ago/ago__/ago__gb_1.mp3
agree,/definition/english/agree,verb,a1,/media/english/us_pron/a/agr/agree/agree__us_1.mp3,/media/english/uk_pron/a/agr/agree/agree__gb_1.mp3
agreement,/definition/english/agreement,noun,b1,/media/english/us_pron/a/agr/agree/agreement__us_1.mp3,/media/english/uk_pron/a/agr/agree/agreement__gb_1.mp3
agricultural,/definition/english/agricultural,adjective,c1,/media/english/us_pron/a/agr/agric/agricultural__us_1.mp3,/media/english/uk_pron/a/agr/agric/agricultural__gb_1.mp3
agriculture,/definition/english/agriculture,noun,b2,/media/english/us_pron/a/agr/agric/agriculture__us_1.mp3,/media/english/uk_pron/a/agr/agric/agriculture__gb_1.mp3
ah,/definition/english/ah_1,exclamation,a2,/media/english/us_pron/a/ah_/ah__u/ah__us_2.mp3,/media/english/uk_pron/a/ah_/ah__g/ah__gb_2.mp3
ahead,/definition/english/ahead,adverb,b1,/media/english/us_pron/a/ahe/ahead/ahead__us_1.mp3,/media/english/uk_pron/a/ahe/ahead/ahead__gb_1.mp3
aid,/definition/english/aid_1,noun,b2,/media/english/us_pron/a/aid/aid__/aid__us_1.mp3,/media/english/uk_pron/a/aid/aid__/aid__gb_2.mp3
aid,/definition/english/aid_2,verb,b2,/media/english/us_pron/a/aid/aid__/aid__us_1.mp3,/media/english/uk_pron/a/aid/aid__/aid__gb_2.mp3
aide,/definition/english/aide,noun,c1,/media/english/us_pron/a/aid/aide_/aide__us_1.mp3,/media/english/uk_pron/a/aid/aid__/aid__gb_2.mp3
AIDS,/definition/english/aids,noun,b2,/media/english/us_pron/a/aid/aids_/aids__us_1.mp3,/media/english/uk_pron/a/aid/aids_/aids__gb_1.mp3
aim,/definition/english/aim_2,noun,b1,/media/english/us_pron/a/aim/aim__/aim__us_1.mp3,/media/english/uk_pron/a/aim/aim__/aim__gb_2.mp3
aim,/definition/english/aim_1,verb,b1,/media/english/us_pron/a/aim/aim__/aim__us_1.mp3,/media/english/uk_pron/a/aim/aim__/aim__gb_2.mp3
air,/definition/english/air_1,noun,a1,/media/english/us_pron/a/air/air__/air__us_1.mp3,/media/english/uk_pron/a/air/air__/air__gb_1.mp3
aircraft,/definition/english/aircraft,noun,b2,/media/english/us_pron/a/air/aircr/aircraft__us_1.mp3,/media/english/uk_pron/a/air/aircr/aircraft__gb_1.mp3
airline,/definition/english/airline,noun,a2,/media/english/us_pron/a/air/airli/airline__us_1.mp3,/media/english/uk_pron/a/air/airli/airline__gb_1.mp3
airport,/definition/english/airport,noun,a1,/media/english/us_pron/a/air/airpo/airport__us_1.mp3,/media/english/uk_pron/a/air/airpo/airport__gb_3.mp3
alarm,/definition/english/alarm_1,noun,b1,/media/english/us_pron/a/ala/alarm/alarm__us_1.mp3,/media/english/uk_pron/a/ala/alarm/alarm__gb_1.mp3
alarm,/definition/english/alarm_2,verb,b2,/media/english/us_pron/a/ala/alarm/alarm__us_1.mp3,/media/english/uk_pron/a/ala/alarm/alarm__gb_1.mp3
albeit,/definition/english/albeit,conjunction,c1,/media/english/us_pron/a/alb/albei/albeit__us_1_rr.mp3,/media/english/uk_pron/a/alb/albei/albeit__gb_2.mp3
album,/definition/english/album,noun,b1,/media/english/us_pron/a/alb/album/album__us_2.mp3,/media/english/uk_pron/a/alb/album/album__gb_1.mp3
alcohol,/definition/english/alcohol,noun,b1,/media/english/us_pron/a/alc/alcoh/alcohol__us_1_rr.mp3,/media/english/uk_pron/a/alc/alcoh/alcohol__gb_1.mp3
alcoholic,/definition/english/alcoholic_1,adjective,b1,/media/english/us_pron/a/alc/alcoh/alcoholic__us_2_rr.mp3,/media/english/uk_pron/a/alc/alcoh/alcoholic__gb_1.mp3
alert,/definition/english/alert_3,adjective,c1,/media/english/us_pron/a/ale/alert/alert__us_1.mp3,/media/english/uk_pron/a/ale/alert/alert__gb_1.mp3
alert,/definition/english/alert_2,noun,c1,/media/english/us_pron/a/ale/alert/alert__us_1.mp3,/media/english/uk_pron/a/ale/alert/alert__gb_1.mp3
